Model,MDO4054-3
Firmware Version,2.10

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0.05978
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,-4.02
,
,
,
Label,
TIME,CH1
-4.0220e-02,15.16
-4.0200e-02,14.76
-4.0180e-02,14.76
-4.0160e-02,15
-4.0140e-02,15.32
-4.0120e-02,15.16
-4.0100e-02,14.76
-4.0080e-02,14.84
-4.0060e-02,15.16
-4.0040e-02,15.32
-4.0020e-02,15.16
-4.0000e-02,14.84
-3.9980e-02,14.84
-3.9960e-02,15.16
-3.9940e-02,15.24
-3.9920e-02,15.16
-3.9900e-02,14.84
-3.9880e-02,14.84
-3.9860e-02,15
-3.9840e-02,15.16
-3.9820e-02,15.16
-3.9800e-02,14.76
-3.9780e-02,14.76
-3.9760e-02,15.08
-3.9740e-02,15.24
-3.9720e-02,15.16
-3.9700e-02,14.76
-3.9680e-02,14.76
-3.9660e-02,15.08
-3.9640e-02,15.32
-3.9620e-02,15.16
-3.9600e-02,14.76
-3.9580e-02,14.84
-3.9560e-02,15
-3.9540e-02,15.24
-3.9520e-02,15.08
-3.9500e-02,14.84
-3.9480e-02,14.84
-3.9460e-02,15.08
-3.9440e-02,15.24
-3.9420e-02,15
-3.9400e-02,14.84
-3.9380e-02,14.84
-3.9360e-02,15.08
-3.9340e-02,15.24
-3.9320e-02,15
-3.9300e-02,14.84
-3.9280e-02,14.84
-3.9260e-02,15
-3.9240e-02,15.24
-3.9220e-02,15.16
-3.9200e-02,14.76
-3.9180e-02,14.92
-3.9160e-02,15.08
-3.9140e-02,15.24
-3.9120e-02,15.24
-3.9100e-02,14.84
-3.9080e-02,14.92
-3.9060e-02,15.08
-3.9040e-02,15.4
-3.9020e-02,15.08
-3.9000e-02,14.76
-3.8980e-02,14.84
-3.8960e-02,15
-3.8940e-02,15.24
-3.8920e-02,15.16
-3.8900e-02,14.92
-3.8880e-02,14.92
-3.8860e-02,15.16
-3.8840e-02,15.32
-3.8820e-02,15
-3.8800e-02,14.84
-3.8780e-02,14.84
-3.8760e-02,15.08
-3.8740e-02,15.16
-3.8720e-02,15
-3.8700e-02,14.68
-3.8680e-02,14.84
-3.8660e-02,15
-3.8640e-02,15.24
-3.8620e-02,15.08
-3.8600e-02,14.68
-3.8580e-02,14.76
-3.8560e-02,15.08
-3.8540e-02,15.24
-3.8520e-02,15.08
-3.8500e-02,14.68
-3.8480e-02,14.84
-3.8460e-02,15.08
-3.8440e-02,15.24
-3.8420e-02,15.16
-3.8400e-02,14.76
-3.8380e-02,14.92
-3.8360e-02,15
-3.8340e-02,15.24
-3.8320e-02,15.08
-3.8300e-02,14.76
-3.8280e-02,14.76
-3.8260e-02,15.08
-3.8240e-02,15.24
-3.8220e-02,15.16
-3.8200e-02,14.84
-3.8180e-02,14.84
-3.8160e-02,15
-3.8140e-02,15.24
-3.8120e-02,15.08
-3.8100e-02,14.76
-3.8080e-02,14.84
-3.8060e-02,15.08
-3.8040e-02,15.24
-3.8020e-02,15.16
-3.8000e-02,14.84
-3.7980e-02,14.84
-3.7960e-02,15
-3.7940e-02,15.4
-3.7920e-02,15.08
-3.7900e-02,14.84
-3.7880e-02,14.92
-3.7860e-02,15
-3.7840e-02,15.24
-3.7820e-02,15.08
-3.7800e-02,14.84
-3.7780e-02,14.84
-3.7760e-02,15.08
-3.7740e-02,15.24
-3.7720e-02,15.24
-3.7700e-02,14.92
-3.7680e-02,14.92
-3.7660e-02,15
-3.7640e-02,15.4
